class,base_chain,vftable,ctor,n_methods,family,wave,status,owner,confidence,notes
C3DBalloon,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00490eac;00490ebc;0049130c;00491320,,1,pickups_items,5,todo,,,
C3DBaseball,C3DPermanentSprite -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,0049140c;0049141c;0049186c;00491880,,1,pickups_items,5,todo,,,
C3DBaseballPickup,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00491964;00491974;00491dc4;00491dd8,,1,pickups_items,5,todo,,,
C3DBenny,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00491eb8;00491ec8;00492318;00492354;00492368,,3,player_friends_npcs,2,spec,codex,Medium,placeable:3BEN; Benny story visibility gates and talk scene transitions
C3DBubble,C3DPermanentSprite -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004924fc;0049250c;0049295c;00492970,,2,pickups_items,5,todo,,,placeable:3YSH init:FUN_0044b510
C3DBubblePickup,CPickupType -> C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00492a6c;00492a7c;00492ecc;00492ee0,,1,pickups_items,5,todo,,,
C3DBus,C3DAICar -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00492fc4;00492fd4;00493424;00493460;00493474,,5,vehicles,4,todo,,,placeable:3SBU init:FUN_00411060
C3DBush,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004935fc;0049360c;00493a5c;00493a70,,1,world_props_terrain,7,todo,,,
C3DButton,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00493b50;00493b60;00493fb0;00493fec;00494000,,2,mechanisms_moving_parts,6,todo,,,
C3DCactus,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00494130;00494140;00494590;004945a4,,1,world_props_terrain,7,todo,,,
C3DCamel,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00494684;00494694;00494ae4;00494b20;00494b34,,1,creatures_one_off_set_dressing,9,todo,,,placeable:3CML init:FUN_00412150
C3DCamera,C3DCube -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d20d0;004d20e0;004d2530;004d256c;004d2580,,1,base_framework,1,spec,codex,Medium,runtime camera object stores global DAT_004fc69c distinct from 3CAM cutscene trigger
C3DCar,C3DVehicle -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00494cd8;00494ce8;00495138;00495174;00495188,,2,vehicles,4,todo,,,
C3DCarl,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00495354;00495364;004957b4;004957f0;00495804,,2,player_friends_npcs,2,spec,codex,Medium,placeable:3CAR; Carl friend leaf assets; task visibility and rescue placement hooks
C3DCheckPoint,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00495998;004959a8;00495df8;00495e0c,,3,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3CHK init:FUN_00414190
C3DChick,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00495eec;00495efc;0049634c;00496388;0049639c,,1,creatures_one_off_set_dressing,9,todo,,,
C3DCindy,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00496524;00496534;00496984;004969c0;004969d4,,2,player_friends_npcs,2,spec,codex,Medium,placeable:3CIN; Cindy friend leaf assets; task visibility and counter reward hooks
C3DCone,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00496b68;00496b78;00496fc8;00496fdc,,1,world_props_terrain,7,todo,,,placeable:3CON init:FUN_004152a0
C3DCorona,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004970bc;004970cc;0049751c;00497530,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DCube,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d2670;004d2680;004d2ad0;004d2b0c;004d2b20,,4,world_props_terrain,7,todo,,,placeable:3CUB init:FUN_004614e0
C3DCursor,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00497610;00497620;00497a70;00497aac;00497ac0,,1,base_framework,1,spec,codex,Medium,3CUR hard-coded arrow cursor loads 3darrow assets no current gam rows
C3DCutSceneCamera,C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00497bec;00497bfc;0049804c;00498060,,1,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3CAM init:FUN_00415a00
C3DDarwinFish,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00498150;00498160;004985b0;004985ec;00498600,,2,creatures_one_off_set_dressing,9,todo,,,
C3DDigger,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00498788;00498798;00498be8;00498c24;00498c38,,1,vehicles,4,todo,,,
C3DDino,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00498d64;00498d74;004991c4;00499200;00499214,,1,creatures_one_off_set_dressing,9,todo,,,
C3DDoorUpDown,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049939c;004993ac;004997fc;00499838;0049984c,,2,mechanisms_moving_parts,6,todo,,,
C3DEnemy,C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00499978;00499988;00499dd8;00499e14;00499e28,,1,base_framework,1,spec,codex,Medium,enemy identity base clears two tail flags and inherits AI pickup behavior
C3DEnemyAircraft,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,00499fb0;00499fc0;0049a410;0049a44c;0049a460,,1,enemies_ai,3,todo,,,
C3DEye,C3DAICar -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049a5e8;0049a5f8;0049aa48;0049aa84;0049aa98,,1,creatures_one_off_set_dressing,9,todo,,,placeable:3EYE init:FUN_00418090
C3DFan,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049ac20;0049ac30;0049b080;0049b0bc;0049b0d0,,3,mechanisms_moving_parts,6,todo,,,
C3DFerChair,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049b20c;0049b21c;0049b66c;0049b6a8;0049b6bc,,1,mechanisms_moving_parts,6,todo,,,
C3DFerris,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049b7e8;0049b7f8;0049bc48;0049bc84;0049bc98,,2,mechanisms_moving_parts,6,todo,,,placeable:3FER init:FUN_00418cc0
C3DFireStrato,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049bdc4;0049bdd4;0049c224;0049c260;0049c274,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DFlag,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049c3a0;0049c3b0;0049c800;0049c83c;0049c850,,1,world_props_terrain,7,todo,,,
C3DFleetCommander,C3DYokian -> C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049c97c;0049c98c;0049cddc;0049ce18;0049ce2c,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3FLE; Yokian commander assets and talk texture flip
C3DFlyingObject,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049cfc4;0049cfd4;0049d424;0049d460;0049d474,,7,base_framework,1,spec,codex,Medium,movement-base for 3FLY/C3DPlayer params; FUN_0041a140 flying integrator
C3DFowl,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049d5f0;0049d600;0049da50;0049da8c;0049daa0,,2,creatures_one_off_set_dressing,9,todo,,,placeable:3FOW init:FUN_0041b0a0
C3DFriends,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049dc34;0049dc44;0049e094;0049e0d0;0049e0e4,,8,player_friends_npcs,2,spec,codex,Medium,friend/NPC base; TalkState0..4 and TalkTrigger0..4 resolver; talk marker update
C3DGate1,C3DYokDoor -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049e278;0049e288;0049e6d8;0049e714;0049e728,,2,mechanisms_moving_parts,6,todo,,,
C3DGeyser,C3DValve -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049e854;0049e864;0049ecb4;0049ecf0;0049ed04,,1,mechanisms_moving_parts,6,todo,,,
C3DGirlEatingPlant,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049ee38;0049ee48;0049f298;0049f2d4;0049f2e8,,1,creatures_one_off_set_dressing,9,todo,,,
C3DGoddard,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049f470;0049f480;0049f8d0;0049f90c;0049f920,,5,player_friends_npcs,2,spec,codex,Medium,class id:3GOD no direct gam instances; Goddard AI companion assets/modes/player hooks
C3DGraplingHook,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0049faec;0049fafc;0049ff4c;0049ff88;0049ff9c,,1,pickups_items,5,todo,,,
C3DGrill,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a00c8;004a00d8;004a0528;004a0564;004a0578,,1,world_props_terrain,7,todo,,,
C3DHarrier,C3DEnemyAircraft -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a06a4;004a06b4;004a0b04;004a0b40;004a0b54,,1,enemies_ai,3,todo,,,
C3DHelmet,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a0cf0;004a0d00;004a1150;004a1164,,1,pickups_items,5,todo,,,
C3DHook,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a1244;004a1254;004a16a4;004a16e0;004a16f4,,1,pickups_items,5,todo,,,placeable:3HOO init:FUN_00420060
C3DHugh,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a187c;004a188c;004a1cdc;004a1d18;004a1d2c,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3HUG; direct Hugh asset init; LV4A visibility gate
C3DHumphrey,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a1ec0;004a1ed0;004a2320;004a235c;004a2370,,2,player_friends_npcs,2,spec,codex,Medium,placeable:3HUM; Humphrey enemy assets and SCENE 0x5a clone control
C3DHydrant,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a24f8;004a2508;004a2958;004a2994;004a29a8,,1,world_props_terrain,7,todo,,,
C3DJeep,C3DCar -> C3DVehicle -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a2adc;004a2aec;004a2f3c;004a2f78;004a2f8c,,7,vehicles,4,todo,,,
C3DJetpackFire,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a3150;004a3160;004a35b0;004a35ec;004a3600,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DJimmy,C3DPlayer -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a372c;004a373c;004a3b8c;004a3bc8;004a3bdc,,20,player_friends_npcs,2,spec,codex,Medium,placeable:3JIM; playable Jimmy animations/textures; player/gadget/action controller
